274개	역	역맛집	역카페	역데이트	역데이트코스	역술집
합정	111077	25205	8829	1852	11	3071
행당	3481	1191	29	0	0	0
혜화	122906	30067	3058	6527	65	886
홍대입구	102735	8582	1812	0	0	1163
홍제	9142	1276	0	0	0	34
화계	620	256	275	0	0	0
화곡	40759	15927	3284	180	0	295
화랑대	6160	168	350	0	0	0
회기	36630	7442	3015	61	0	1298
회현	9913	1574	908	0	0	0
효창공원앞	2736	66	286	0	0	0
흑석	4388	818	521	0	0	272
